Timestamp,Voltage Phase 1 (V),Current Phase 1 (A),Voltage Phase 2 (V),Current Phase 2 (A),Voltage Phase 3 (V),Current Phase 3 (A),Power Outage Duration (min)
1712878774,127,60.64197741269072,127,48.053796025978826,127,52.848064686471155,0
1712879674,127,48.62850268289185,127,44.50791571169235,127,53.44860430980265,0
1712880574,127,58.24624120938825,127,55.325663205949304,127,58.045224879432396,0
1712881474,127,50.7150833714728,127,49.98721452397499,127,52.638402385981216,0
1712882374,127,48.88689370455285,127,47.54257490005842,127,42.030802457402274,0
1712883274,127,55.09186548024404,127,50.24842607968286,127,41.99075623206054,0
1712884174,127,40.90794646692881,127,58.85828333896191,127,55.3780164160662,0
1712885074,127,51.91701400373593,127,42.6650127002342,127,48.67609118609492,0
1712885974,127,44.83960493994195,127,48.177824597297054,127,48.91562894534758,0
1712886874,127,46.37358976545672,127,43.03115274732217,127,53.69352658897297,0
1712887774,127,51.24673467806542,127,52.74275889201613,127,55.674490996762714,0
1712888674,127,55.51473701524362,127,58.316151168987396,127,54.6293309804425,0
1712889574,127,52.29557973092446,127,47.93827275855068,127,43.55134325728652,0
1712890474,127,52.95129503943518,127,48.539696939761825,127,59.988131451919145,0
1712891374,127,47.47723513326602,127,51.40039249893599,127,51.42332076317847,0
1712892274,127,42.633830597542136,127,46.174514159847504,127,40.06669862608933,0
1712893174,127,51.37251810160202,127,50.93340380231444,127,53.71881480700442,0
1712894074,127,46.37405648955918,127,44.702372129345065,127,48.390186625585585,0
1712894974,127,52.06627985523749,127,44.5850293517897,127,51.909243368983475,0
1712895874,127,52.45126542817035,127,54.10158249073451,127,48.2126716565715,0
1712896774,127,50.435688749766626,127,56.14250948061892,127,46.50015739940328,0
1712897674,127,49.808781885967036,127,60.03013200088496,127,51.52023333259828,0
1712898574,127,54.7163686866263,127,51.502391859627245,127,55.03466912459545,0
1712899474,127,52.42340143975813,127,48.90290092118919,127,48.79857808568694,0
1712900374,127,48.85790191850435,127,53.288941902367405,127,50.12186048802876,0
1712901274,127,49.91630855826275,127,50.40222587642606,127,51.37249539364659,0
1712902174,127,57.816238111199105,127,45.36710151096032,127,55.392856430486745,0
1712903074,127,47.86889843687055,127,48.32474084101133,127,49.25853714341723,0
1712903974,127,43.22707690700943,127,46.82577836328595,127,49.320639665312356,0
1712904874,127,47.01614589480259,127,56.48540809962617,127,45.879263655972736,0
1712905774,127,49.163737151983845,127,46.979834571801504,127,56.25646166400003,0
1712906674,127,43.285666904205506,127,52.07625396323983,127,55.9843487193143,0
1712907574,127,57.038519145415144,127,50.88443630729284,127,58.64165955882827,0
1712908474,127,45.24158223046608,127,47.24211656202054,127,47.304402825694325,0
1712909374,127,51.28635679749405,127,39.430340256621285,127,54.74266461091228,0
1712910274,127,56.15638043269664,127,48.55906734189054,127,56.2909846849699,0
1712911174,127,52.86878099188525,127,45.1156267950396,127,46.54485238038189,0
1712912074,127,47.463542757253066,127,51.64376538069138,127,54.702936316613794,0
1712912974,127,53.360035069125665,127,46.89862208383822,127,50.564248166486394,0
1712913874,127,46.93398093684473,127,57.911353417579235,127,48.07780952032868,0
1712914774,127,49.663125007073354,127,48.58294995422671,127,44.00241026181218,0
1712915674,127,49.60482661294703,127,54.10936503349665,127,49.14624864055858,0
1712916574,127,41.74484636346649,127,48.956871682528146,127,46.44526465282807,0
1712917474,127,50.26173426909621,127,54.82679834484561,127,46.49895760558725,0
1712918374,127,49.22246227539844,127,50.23180708343642,127,42.861622939822496,0
1712919274,127,51.76466910128816,127,48.52920687973135,127,45.21844001453929,0
1712920174,127,43.27113366418939,127,49.78750945103218,127,54.1025103186323,0
1712921074,127,52.45497586348187,127,44.10978838391554,127,48.29460395231995,0
1712921974,127,52.293400630214556,127,55.964043225310355,127,57.53807763324684,0
1712922874,127,51.07964958887555,127,55.38100161768821,127,43.00322014607584,0
1712923774,127,52.54311367973926,127,57.9621285366736,127,49.79278659294503,0
1712924674,127,56.87970789629025,127,56.77802064264609,127,53.126625893127276,0
1712925574,127,58.377508782509665,127,48.54901934481397,127,48.855022924552976,0
1712926474,127,57.62323215399809,127,51.94597420330808,127,43.785278472568095,0
1712927374,127,50.135494882296584,127,64.89988085879327,127,38.15598273683422,0
1712928274,127,56.610970791004014,127,47.45662374058064,127,52.642193826580595,0
1712929174,127,54.12608361165218,127,43.257841994733646,127,42.20937928248876,0
